date,text,date_actual,link,heading
"May 01, 2018","Sindh police on Tuesday arrested a news reporter, associated with a private TV channel, over charges of sexually abusing a 17-year-old boy in Badin. ,A case was registered against the sexual offender under Sections 337J (causing harm by poison), 411 (receiving stolen property) and 377 (sodomy) of Pakistan Penal Code on the complainant of the victim's elder brother.,The complainant told police that the journalist in question deceivingly took the boy to a deserted place near the railway track in Badin on Monday, where he reportedly drugged the victim and sexually abused him. ,The victim's brother further alleged that the arrested journalist was also involved in sexually abusing other young boys in their locality.,SSP Badin Irfan Ahmed Samoon, when contacted, confirmed the registration of the FIR and the subsequent arrest of the news reporter. Model police station SHO Mohammad Qasim Panhwar made the arrest.,Samoon said police had already issued a letter to the boy for his medical check-up from Indus Hospital in Badin.",2018-05-01,https://www.dawn.com/news/1405015/badin-journalist-arrested-for-sexually-abusing-teenage-boy-say-police,"Badin journalist arrested for sexually abusing teenage boy, say police
"
"May 01, 2018","ON Saturday evening, Michelle Wolf, a comedian who broke into the business on late-night television and The Daily Show, scandalised a village inhabited by politicians, lobbyists and reporters by … wait for it … being a comedian.,Wolf, the latest professional wit invited to entertain those gathered at the annual White House Correspondents’ Association dinner by roasting the president, the media and the rest of the Washington establishment, cracked wise, funny, ruthless, cruel and vulgar jokes for 19 minutes about subjects near and dear to those stakeholders.,She took on topics like the White House assault on facts; how women’s issues, political spin, and dissembling intersect uncomfortably with luminaries such as Ivanka Trump, Kellyanne Conway and Sarah Huckabee Sanders; President Donald Trump’s possible dalliance with a porn star, his wealth and his courtship of white nationalists; Ted Kennedy and Chappaquiddick; Al Franken and sexual harassment; Democratic ineptitude; and the tangled, symbiotic relationship between journalists and the president.,“And just a reminder to everyone, I’m here to make jokes,” Wolf said at the top of her routine. “I have no agenda. I’m not trying to get anything accomplished. So everyone that’s here from Congress, you should feel right at home.”,Lots of the dinner guests, we now know, did not end up feeling right at home as Wolf toed the line between being provocative and being offensive — a line that comedy, particularly political comedy, routinely blurs. Many of the critical responses to Wolf’s caustic monologue wound up showing the extent to which the joke here truly is on tribal, insular Washington itself, and why cosy media events like Saturday’s dinner are inevitably uncomfortable and better off put to rest.,A tour around some of the reactions to Wolf — whom journalists invited to the dinner to exercise her own ribald form of free speech — also throws some Trump-era hypocrisies into relief.,Dennis Miller, a conservative political comedian and Saturday Night Live veteran, seemed to forget that he’s an occasionally nasty comedian himself when he took to Twitter over the weekend to slam Wolf. Matt Schlapp, chairman of the American Conservative Union, was so put off by Wolf’s routine that he and his wife fled the dinner. Fair enough. But the Schlapps weren’t so insulted that they couldn’t continue to partake in the event’s other vaguely swampy festivities. They reportedly showed up at a swanky after-party hosted by NBC at the Art Museum of the Americas.,Journalists — liberal, iconoclastic, free-speaking journalists — also took to Twitter to criticise Wolf or sympathise with her targets, notably Sanders. Perhaps not surprisingly, the president’s press secretary got some of the most rousing support from veterans of the fourth estate, including Andrea Mitchell.,I’m not so sure that Wolf was the “worst” since Don Imus skewered Bill Clinton for his extramarital affairs and Hillary Clinton for her legal problems at a media dinner in Washington back in 1996. Remember Stephen Colbert’s savage roasting of President George W Bush at the Correspondents’ Dinner in 2006? That was pretty brutal (and uncomfortable and funny). How about Seth Meyers teeing up Trump at the 2011 instalment? Tough stuff. And funny. (And maybe the reason Trump hasn’t shown up at the last two dinners.),Sanders is an interesting exhibit in Washington tribalism. She has presided over myriad press conferences in which she has gone out of her way to insult the reporters present, while also accusing the press of “purposefully misleading the American people”. She also regularly goes to bat for a boss who has described the media as the “enemy of the American people”. Some of Sanders’s supporters in the press complained that Wolf made fun of the press secretary’s looks. I thought that Wolf was making fun of the press secretary’s demeanour and character; that’s a distinction with a difference.,In the meantime, it’s worth identifying the real problem with the Correspondents’ Association dinner: journalists enter perilous territory when they take too much pleasure in getting dressed up and going out with the people they write about.,The event is firmly part of a certain nostalgic Washington tradition, one that’s rooted in the idea that there’s a shared faith in the fundamental value of fact-based journalism. But there isn’t. And that’s a fact that can’t be obscured by the kind of bland humour for which Wolf’s critics seem to pine.,So let’s just stop trying.",2018-05-01,https://www.dawn.com/news/1404913/hey-washington-the-jokes-really-on-you,"Hey, Washington, the joke’s really on you
"
"May 01, 2018","COLOMBO: Sri Lanka is celebrating its most important annual Buddhist festival, Vesak — celebrated on the first full moon in the month of May. Sacred relics from both India and Pakistan, have been sent to the country to be displayed for the devotees of the Buddhist faith. ,Relics of the Buddha brought to Sri Lanka from Sarnath in India and those brought from the Taxila Museum in Pakistan, will be placed at several temples to commemorate the birth, enlightenment and death of the Buddha. ,The relics from Sarnath, India, carried by the General Secretary of the Maha Bodhi Society of Calcutta, Ven. P. Seewali Thera, were received by India’s High Commissioner Taranjit Singh Sandhu, and presented to Sri Lanka’s parliament speaker Karu Jayasuriya. ,The relics — brought to Sri Lanka for the first time in more than a century — were enshrined, at Mulagandhakuti Vihara in Sarnath, in Uttar Pradesh India. Sarnath is a place of holy significance for the Buddhist faith, as it was in the village, in a deer park, where Gautama Buddha is said to have delivered his first sermon, giving birth to the Buddhist sangha — the community of monks, who have achieved a significant level of enlightenment. ,Anagarika Dharmapala, the Sri Lankan founder of the Maha Bodhi Society of India, built the Mulagandhakuti Vihara to restore the glory of Sarnath. The relics of the Buddha were presented as gifts to the Maha Bodhi Society by the Government of India. ,The relics sent by Pakis­tan were received by Bud­dha Sasana Minister Gam­ini Jayawickrema Perera and the Pakistan High Commissioner in Sri Lanka, Dr Shahid Hashmat. ,Dr Hashmat said that the artefacts are a priceless part of the archaeological heritage of Pakistan and depict the rich Buddhist tradition of the country. ,The high commission of Pakistan in Sri Lanka, in a statement, said that Pakistan is keen to take part in the celebrations. The various artefacts will be on display, till May 2, at the Temple Trees, the official residence of the Sri Lankan Prime Minister. From May 3 to May 12, the relics will be placed at several temples across the island. ,A casket has been specially designed to secure the two most revered relics from India and Pakistan. The relics, enclosed in the silver casket, enshrined in the Vihara, were excavated by Sir John Marshall in 1913-14, near the ancient city of Taxila, (Takshashila). ,They were found in a small Buddhist chapel close to the Dharmarajika Stupa in a silver reliquary — a container for holy relics — with inscriptions dating back to the year 136 (circa 79AD). The second relic enshrined at Sarnath was found by A. H. Longhurst of the Archaeological Survey of India in 1929 in a large Stupa at Nagarjunakonda in the Guntur District of the then Madras Presidency. The Stupa in which the relic was found is described as the Maha Chetiyaor — the ‘Great Stupa’ of the Blessed One. The relics will be displayed — among other areas — in the districts of Colombo, Matara, Anuradhapura and Kandy. All displays will be open for the public till May 16. ,Buddhism was founded in India, 2600 years ago. It spread across the Indian subcontinent and extended to nearby regions, but lost significance in its birthplace due to the revival of Hindu sects like Shaivism and Vaishnavism. The faith however, thrived in many other regions including far east states like Myanmar, and Thailand. Today, Sri Lanka and Bhutan are the only Buddhist majority countries in the Indian subcontinent. Strategically important for both Pakistan and India, Sri Lanka has always been extended friendly diplomacy through the preservation of Buddhist relics.",2018-05-01,https://www.dawn.com/news/1404896/ancient-relics-sent-to-sri-lanka-to-commemorate-birth-of-buddha,"Ancient relics sent to Sri Lanka to commemorate birth of Buddha
"
"May 01, 2018","THOUSANDS rallied in Moscow on Monday in support of internet freedom after Russian authorities tried to block access to the popular messaging app Telegram in the latest onslaught against dissent under Vladimir Putin. In an unusually strong turnout, around 10,000 people including top opposition leader Alexei Navalny turned up in the centre of the Russian capital, many holding placards and shooting paper airplanes, the Telegram symbol. ,Many called for Putin’s resignation. A volunteer movement that counts attendees at opposition rallies said more than 10,000 people turned up. Police said 7,500 attended.,Under Putin, who was re-elected for a fourth Kremlin term last month, top television channels and most newspapers have been muzzled, with internet remaining the only public venue for free self-expression. But over the past months the authorities have moved in on the Russian internet, with the telecoms watchdog saying Facebook could also be blocked if it did not comply with local legislation. Earlier this month a court ruled to block Telegram in Russia after it refused to give state security services access to private conversations that are normally encrypted. But in seeking to deny access to Telegram, the state telecoms regulator blocked millions of IP addresses, disrupting the work of many businesses including car manufacturer Volvo.,Facebook and Telegram are widely used by the opposition to coordinate protests and make political statements. A 2014 law requiring foreign messaging services, search engines and social networking sites to store the personal data of Russian users inside the country has caused widespread concern. It is seen as putting the information at risk of being accessed by Russian intelligence services.",2018-05-01,https://www.dawn.com/news/1404901/thousands-in-moscow-slam-kremlins-plan-to-block-messaging-app,"Thousands in Moscow slam Kremlin’s plan to block messaging app
"
"May 01, 2018","KUALA LUMPUR: A Malaysian court on Monday handed a Danish man a one-week jail term for breaking a law against “fake news”, the first person to be punished under the controversial legislation.,The law, passed in early April, makes the deliberate dissemination of false information punishable by up to six years in jail and a hefty fine. It has sparked outrage from rights groups, who believe it is aimed at cracking down on dissent.,Salah Salem Saleh Sulai­man, a 46-year-old of Yem­eni descent, admitted making and posting on YouTube a video accusing emergency services of responding slow­­ly after a Palestinian Hamas member was gunned down in Kuala Lumpur.,Fadi al-Batsh, said to be a rocket-making expert, was on his way to dawn prayers on April 21 when he was assassinated by motorbike-riding gunmen, a killing his family have blamed on Israel’s spy agency. The Jewish state has denied it was behind the murder.,The Dane, who did not have a lawyer and was wearing white robes and a green skullcap during a court appearance in Kuala Lumpur, said he was not aware of Malaysia’s laws. ,Judge Zaman Mohamad Noor sentenced him to a week in jail, including time already served since his April 23 arrest, and fined him 10,000 ringgit ($2,500). If he cannot pay the fine, then he will have to serve another month in jail, the judge said.,The Dane, who had been on a 10-day visit to Malaysia when the crime was committed, said he did not have enough money to pay the fine. He said he had three wives and six children.,The law banning fake news has sparked concern the government is seeking to crack down on criticism, particularly with a general election looming on May 9.",2018-05-01,https://www.dawn.com/news/1404902/malaysia-convicts-first-person-under-fake-news-law,"Malaysia convicts first person under fake news law
"
"May 01, 2018","NEW YORK: Adult film actress Stormy Daniels sued US President Donald Trump for defamation on Monday, saying he lied by tweeting that her claim of being threatened if she discussed an alleged sexual encounter with him was a “total con job”.  ,The lawsuit in federal court in Manhattan escalates Daniels litigation with Trump and his personal lawyer, Michael Cohen, who paid her $130,000 before the 2016 presidential election to keep quiet about the alleged sexual encounter a decade earlier.,Trump used Twitter on April 18 to complain about a composite sketch that Daniels lawyer Michael Avenatti released the previous day.,That sketch depicted a man Daniels said assailed her in a Las Vegas parking lot soon after she had agreed in May 2011 to work with a  magazine on a story about her relationship with Trump.,“A sketch years later about a non-existent man,” Trump wrote. “A total con job, playing the Fake News Media for Fools (but they know it)!”",2018-05-01,https://www.dawn.com/news/1404904/daniels-sues-trump-for-defamation,"Daniels sues Trump for defamation
"
"May 01, 2018","Cricket Australia (CA) on Tuesday appointed an ethics guru to review the sport's culture in the wake of the , that has rocked “the gentleman's game”. ,The governing body said it wanted to ensure there was never a repeat of the conduct during the third Test against South Africa in March that tarnished Australian cricket's reputation. ,“We understand and share the disappointment of fans and the broader Australian community about these events,” CA chairman David Peever said in a statement. “The board is determined to do all we can to prevent such events from ever happening again.” ,During the match in Cape Town, captain Steve Smith, vice-captain David Warner and batsman Cameron Bancroft plotted to tamper with the ball using sandpaper, earning themselves lengthy bans. ,Coach Darren Lehmann also resigned amid criticism he allowed a win-at-all-costs attitude to flourish that gave rise to the cheating scandal. ,CA has acknowledged cultural issues within the team and on Tuesday said Simon Longstaff would conduct a wide-ranging review into the sport. ,Longstaff is head of Sydney-based non-profit organisation The Ethics Centre, which aims to promote ethical decision-making in business, government and everyday life.,He is expected to quiz current and former players, administrators, media and sponsors about ethical issues facing the sport before making recommendations. ,Longstaff did not comment in the CA statement but said last month that those involved in the scandal had lost their “internal compass”. ,“(It's) essentially good people making bad decisions with sometimes calamitous effects — tragically so as we've seen in this case,” he told the ,. ,“It's an inability to recognise the small things that start to change the seeds of some deeper corruption of a core set of values and principles... a type of deviance becomes normalised.” ,The Australian Cricketers' Association (ACA), which represents players, said it was encouraged that the review took on board most its proposals in its terms of reference. ,“Culture starts at the top and we welcome investigation in to all aspects of cricket's culture, organisational structure and governance,” said ACA president Greg Dyer. ,“There is a desire to see significant and lasting change aimed at improving cricket's culture and governance, and the accountability of those who are responsible for running it.” ,Longstaff's review will run in tandem with a separate probe announced last month into player behaviour headed by former Test batsman Rick McCosker. ,McCosker will work with former players to formulate a charter on player behaviour balancing the demands of elite cricket with public expectations about the way such role models should act. ,Peever said CA wanted to implement recommendations from both the Longstaff and McCosker reviews in time for the 2018-19 season.",2018-05-01,https://www.dawn.com/news/1404993/australian-tampering-scandal-sparks-ethics-review,"Australian tampering scandal sparks ethics review
"
"May 01, 2018","ISLAMABAD: The government on Monday incr­eased the prices of diesel and petrol by Rs2.31 and Rs1.70 per litre, respectively, for the month of May — almost half of the increase worked out by the Oil and Gas Regulatory Authority (Ogra). ,An announcement by the finance ministry said: “The prime minister declined to pass on the full impact of the increase in prices to the consumers and decided that the government will absorb almost 50 per cent of the impact of increase. For this reason, GST on petrol, kerosene and light diesel oil was slightly reduced and that on high speed diesel kept unchanged at 27.5pc.” ,The price of high speed diesel (HSD) was increased by 2.31pc, petrol by 1.98pc, kerosene by 4.45pc and light diesel oil (LDO) by 5.43pc. The ex-depot price of HSD was raised by Rs2.31 to Rs98.76 per litre from Rs96.45 and that of petrol by Rs1.70 to Rs87.70 from Rs86. The price of kerosene was increased by Rs3.41 to Rs79.87 per litre from Rs76.46 and that of LDO by Rs3.55 to Rs68.85 from Rs65.30. ,Ogra had proposed an increase of Rs5.02 per litre in the price of HSD, Rs3.22 in motor gasoline (petrol), Rs6.97 in kerosene and Rs6.95 in LDO. Interestingly, the regulator had calculated the prices on the basis of higher than notified tax rates for HSD on the order of the finance ministry to enable the government to announce a relatively lower rate for political objectives. ,The ministry had ordered calculation of prices on the basis of 31pc GST on HSD and 17pc on all other products. This was despite the fact that the notified-GST rate stood at 27.5pc on HSD, 17pc on kerosene, 16.5pc on LDO and 21.5pc on petrol. ,Under the practice in vogue, oil prices are revised on the last day of every month. ,Prime Minister Shahid Khaqan Abbasi has been allowing a gradual increase in the prices of LDO and kerosene to bridge a price differential with petrol to minimise mixing of the two products. ,Interestingly, kerosene is the only regulated petroleum product but unavailable at the fixed rate anywhere in the country. All other products are deregulated and available reasonably within the price band announced by the government. ,Petrol and HSD are two major products that generate most of the revenue for the government because of their massive and yet growing consumption in the country. HSD sales stand at over 800,000 tonnes per month, petrol at 700,000 tonnes and kerosene and LDO at less than 10,000 tonnes.",2018-05-01,https://www.dawn.com/news/1404834/petrol-diesel-prices-go-up,"Petrol, diesel prices go up
"
"May 01, 2018","THE weather here is pleasant, and it has been raining since morning. Bashir Baloch, the well-known folk singer of the city — he has so far been given 132 awards, including two presidential awards, over his career — sits gloomily at his residence. There is no one else in the room; just him and his awards. ,In his highly conservative area of Killi Deba, situated in the heart of the city, I humbly request him to sing a song of his favourite singer. After some thought, and trying to bring some semblance of a smile on his lips, he agrees to sing one of Lata Mangeshkar’s songs. As he finishes, he tells me: “You know, I came to know about her at the age of 7, and liked her work so much that I started singing her songs at the age of 11.”,In his vicinity, almost everyone knows Bashir Baloch. Had that not been the case, the narrow alleys leading to his impoverished house would be hard to navigate correctly. “I was recently at the Chief Minister House from 11am to 9pm,” he continues. “I was promised a meeting with Chief Minister Abdul Quddus Bizenjo, but unfortunately he was busy the whole day. Finally, I pleaded to be allowed to come back home. He could not take out even five minutes for a meeting with me.”,Gone are the days when Bashir Baloch would, besides other programmes, be regularly invited on , and ,, the state-run TV channel. With the remuneration he received, he supported his family. ,But then, explains Baloch writer Waheed Zaheer, the private TV channel boom occurred after the turn of the millennium, followed by the social media revolution. “Now, there are channels after channels, so who will watch Bashir Baloch on ,, or listen to him on ,?” asks Zaheer. “Times have changed.” ,Bashir Baloch has seven children and his eldest daughter is 16. The family lives hand to mouth. There is someone, he says, by the name of Nisar Shahwani who enrolled his children at a school in Deba, and also sends wheat for his family annually. “Had Nisar not stretched out his hand, I would not have been able to even send my children to school,” the singer says. ,Besides Balochi and Brahui, he sings in six languages; singing is his life. In Balochistan and elsewhere in the country, Bashir Baloch says he has been respected wherever he has gone. People always know him, he says, and several people he has met in recent times have given him money despite the fact that they themselves were hard up. “What I need is some sort of official support from the government, so that I may continue my singing and financially support my family,” he explains. “As a folk singer, I think I should not be asking for financial assistance. But what else I can do? If this doesn’t happen, I will die from hunger along with the children.”,It is said that at the time of the 1965 war between India and Pakistan, singer Madam Noor Jehan boosted the morale of the armed forces, which made her even more popular. “That is what inspired me, too, as a singer,” says Bashir Baloch. “I did sing those songs of hers with a lot of interest, because Pakistan is my motherland.” ,Folk singing is a herculean task. Among thousands, it is said, one folk singer is born. In a stunted society such as ours, they are unfortunately born to suffer endlessly. According to former Balochi Academy chairman Abdul Wahid Bandeeg, all of Balochistan’s folk singers’ story is the same as that of Bashir Baloch. “There is no end to their economic sufferings,” Bandeeg says.,Echoing this claim, Bashir Baloch says he would happily sing, but he has had to finally give up. There are, according to him, some 20 more folk singers in Quetta who are facing the same fate as his, but they are suffering silently. “I am not brave like them,” he says, his eyes brimming with tears. “They suffer, they sing, and they keep silent. I am shamelessly running from pillar to post for some financial assistance.”",2018-05-01,https://www.dawn.com/news/1404844/meet-quettas-beleaguered-folk-singer,"Meet Quetta’s beleaguered folk singer
"
"May 01, 2018","South Korea on Tuesday dismantled huge loudspeakers used to blare anti-Pyongyang broadcasts and K-pop songs from its border with North Korea, as the South's president asked the United Nations to observe the North's ,. ,The dismantling of dozens of South Korean loudspeakers was in line with reconciliation steps the leaders of the rival Koreas set at their historic summit last Friday. It was still unclear if such measures could bring permanent peace because no major breakthrough in the North Korean nuclear standoff was produced after ,. ,South Korean soldiers disassembled loudspeakers at multiple front-line areas before pulling them away from the border, according to Seoul's Defence Ministry. A ministry official, speaking anonymously citing department rules, gave no further details such as how long the dismantling work would continue. ,South Korean media reported that Seoul detected signs that North Korea was taking similar steps on Tuesday. But the Defence Ministry says it cannot confirm the report. ,Both Koreas before the summit had halted propaganda broadcasts along the 248-kilometre-long border. ,Cold War-era propaganda warfare had resurfaced in 2016 when tensions rose sharply after the North's fourth nuclear test. Seoul broadcast criticism of the North's abysmal human rights conditions, world news and weather forecasts as well as pop songs. The North broadcast anti-South messages and praises of its own political system. ,North Korean leader Kim Jong Un has suspended nuclear and missile tests and placed his nuclear program up for negotiation, but scepticism lingers about how serious he is and what disarmament steps he would eventually take. ,Some experts say Kim's sincerity would be tested during his planned meeting with President Donald Trump in what would be the first-ever North Korea-US summit talks since the end of their fighting in the 1950-53 Korean War. ,Trump said on Monday he likes the idea of going to the southern side of Panmunjom, the place for the Korean summit, to meet Kim, though he said Singapore was also under consideration. He said on Saturday that his meeting with Kim could happen in the next three to four weeks. ,During Friday's summit, Kim told South Korean President Moon that he would shut down his country's only known nuclear testing site in May and allow outside experts and journalists to watch the process. ,Kim also said he would be willing to give up his nuclear programs if the United States commits to a formal end to the Korean War and a pledge not to attack the North, according to South Korea's presidential office. ,Some experts downplayed the significance of the closing of the Punggy-ri test site, where six underground explosions have been conducted and which the doubters believe may be too unstable for another. Kim denied such views, saying the site has two underground tunnels to be used for new tests. ,During a telephone call with UN Secretary-General Antonio Guterres on Tuesday, Moon said he wants the UN to observe the work to close down the Punggy-ri site. Moon also asked for the UN to formally declare its support for his recent summit declaration with Kim, and Guterres responded he'll try to contribute for an establishment of peace on the Korean Peninsula, according to Moon's office. ,According to their summit accord, Kim and Moon agreed to achieve “a nuclear-free Korean Peninsula through complete denuclearisation,” rather than clearly stating “a nuclear-free North Korea.” ,North Korea has long said the term “denuclearisation of the Korean Peninsula” must include the United States pulling its 28,500 troops out of South Korea and removing its so-called “nuclear umbrella” security commitment to South Korea and Japan. ,Kim could offer more disarmament concessions during his meeting with Trump, and some analysts say Kim may announce scraping North Korea's long-range missile program, which has posed a direct threat to the United States.",2018-05-01,https://www.dawn.com/news/1404997/south-korea-dismantles-propaganda-loudspeakers-at-border,"South Korea dismantles propaganda loudspeakers at border
"
