,dates,heads,texts
0,2017-07-01,Vendor kidnapped for charging ‘high price’ for fruit,"ISLAMABAD: The Koral police arrested four people while they were moving someone they had kidnapped.,According to the FIR of the case, available with Dawn, a fruit merchant, Ramzan Hussein had a disagreement with the accused regarding fruit prices at Khanna Bridge. The dispute was settled when other traders got involved. ,However, the accused persons came back in their car half an hour later, beat Mr Hussein, held him at gun 
point and forced him into the car.,According to Mr Hussein, two of the kidnappers sat on either side of him in the car, which was driving towards Rawat.,The complainant has said he was blindfolded as well.,A police official said officers on duty saw that a passenger in the car had been blindfolded which is why they started chasing the car and stopped it. ,They confirmed from the victim that he was being kidnapped before arresting the accused persons. ,Two days physical remand has been obtained for all four suspects from a magistrate. ,However, initial investigation suggests the accused were not professional kidnappers and lifted the fruit vendor because they were insulted by him."
1,2017-07-01,"Victims’ relatives coerced into accepting blood money, says Davis","			
,WASHINGTON: Raymond Davis, a CIA contractor who shot dead two men in Lahore in January 2011, claims that former ISI chief Shuja Pasha was “clearly committed” to ensuring that the deal for his release was successful. ,In his book The Contractor: How I Landed in a Pakistani Prison and Ignited a Diplomatic Crisis, Davis recalls that Gen Pasha was also “responsible for replacing” the original prosecutor, Asad Manzoor Butt, who was working pro bono at the behest of Jamaat-i-Islami with Raja Irshad, “who was more beholden to ISI than any religious group”. ,Davis explains that the plan to rescue him by paying blood money hinged on the acquiescence of the 18 family members of his victims and “ISI agents applied as much pressure as needed to get them to accept the diyat”. ,With the support of the first prosecutor, several relatives resisted the plan. One of them was Waseem Shamshad, Muhammad Faheem Shamshad’s brother, who “did not come on-board for weeks”. ,Another dissenter was Mashhod-ur-Rehman, a UK-educated lawyer, whose brother had been killed by the SUV that came to rescue Davis. ,“To separate the family members from the radical Islamists whispering in their ears and the lawyer who endorsed a hard-line Islamic agenda, ISI operatives intervened on March 14, 2011, detaining and sequestering all 18 of them,” Davis writes in the book published this week. ,“For the two days preceding the March 16 trial that would decide my fate, Butt (the first lawyer) was unable to reach any of them by phone, and their neighbours confirmed that they had disappeared.” ,The other victim Faizan Haider’s cousin Aijaz Ahmad, who also opposed the deal, complained that “there’s a padlock on their door” and “their phones are all switched off”. ,Davis claims that the night before the March 16 trial, ISI agents took the family members to Kot Lakhpat jail and encouraged them to accept the deal. They were told that if they forgave Davis, they would be given a large sum of money in return. ,If they did not, “the consequences of that decision were made clear the following morning when they were reportedly held at gunpoint just outside the prison’s courtroom for several hours and warned not to say a word about it to the media,” Davis writes. ,“When Butt (the lawyer) arrived at the prison that morning, he received similar treatment. … Butt was never able to see or talk to any of his (now former) clients.” ,Davis says that “the shock of being denied access to the man who’d guided them through their country’s convoluted legal system for more than a month, and forced to agree to a deal that many of them did not want, was evident on their faces as they shuffled to the front of the courtroom on March 16”. ,Carmela Conroy, then US consul general in Lahore, whose name has been mentioned in the book, observed that “the women were indeed the ones taking it the hardest. Some of them had tears in their eyes. Others were sobbing outright”. The new prosecutor, Raja Irshad, presented a signed document to the judge, showing that all 18 legal heirs of the two victims had agreed, at least on paper, to forgive Davis. ,The judge asked the relatives to prove their identity and then gave them $130,000 each for a total of $2.34 million, “the largest amount of blood money ever awarded in Pakistan,” writes Davis. ,After each relative had signed the papers, the judge asked if any of them had been coerced into doing it. 
All 18 relatives said no. The judge also reminded both the defence and the prosecution that they were entitled to object. Neither did. ,Davis identifies himself as a military, not a CIA, contractor who had pledged to defend the United States and its Constitution. He says that before coming to Pakistan, he was part of a team that protected former 
Afghan president Hamid Karzai during his first election campaign. ,At one place in his book Davis says that the two men he shot were robbers, had been arrested more than 50 times on various charges and were carrying stolen mobile phones and unlicensed guns when killed.  ,He says that on Jan 27, 2011, when he killed the two men, he was not on a particular mission. He drove out of his compound in Lahore’s Scotch Corner neighbourhood in a white sedan to survey the “route I would be taking someone on three days later”. His main job was to protect US visitors to the town and to provide protection to diplomats and US officials working at the Lahore consulate. ,Davis also says that the visitor he was supposed to protect three days later was on an apparently secret mission, and even during interrogation he made sure that he did not disclose the visitor’s name or the purpose of his or her visit to Lahore."
2,2017-07-01,Swat rights activist says survived armed attack,"MINGORA: Women rights activist and founder of the first ,, Tabassum Adnan, claimed to have survived in an armed attack conducted by unidentified people late on Thursday night, and has demanded of the government to trace and arrest the culprits. ,She said that some unidentified assailants starting firing in the midnight on which her police guard responded and after sometime the attackers fled. ,Tabassum Adnan told media persons that it was midnight that some assailants opened indiscriminate fire on her house. ,“The firing continued for some time and many of the bullets hit my room’s windows and door, however I survived in the incident when my police guard responded immediately and the assailants fled,” she said. ,Ms Tabassum said that she was receiving threats from unknown people since long. “I have already filed an FIR in Saidu Sharif police station after I received threats earlier. I will continue my work for women rights as such actions can never stop me from my cause,” she said. ,A police official in Saidu Sharif police station said that police filed an FIR and had started investigation. ,Ms Tabassum is the founder of first female Jirga known as Khwendo Jirga which works for women rights. She is the recipient of several national and international awards. ,Meanwhile, the CTD police claimed to have arrested a key militant identified as Saeedur Rehman, a resident of Shawar, in Matta tehsil. The police said that he was allegedly involved in anti-state activities during the Swat mayhem. "
3,2017-07-01,Karachi police arrest alleged killer of senior journalist Zeba Burney,"Police on Saturday claimed to have arrested the killer of senior journalist Zeba Burney, who was , a day before Eidul Fitr, a press release said. ,Within a few days after the incident, the investigation arm of police (East zone) arrested suspect Kashif Jameel for Burney's murder, in what Senior Superintendent of Police (SSP) Investigation East Zulfiqar Mahar said was a challenging case for the police. ,Jameel allegedly murdered the senior journalist during an attempt to rob her of money, mobile phone and jewellery, the SSP said. ,When Burney put up ""strong resistance"" during the robbery attempt, the alleged killer strangulated her with electrical wire to death. ,According to police, Jameel earlier used to live in the same plaza as Burney, before he was forced to leave for failing to pay the rent. ,Burney, who remained associated with journalism for 30 years, had been living alone after retirement from Nawa-i-Waqt newspaper.,The wife of late journalist Naeem Qamar, she was found dead inside her flat in Khudadad Colony on Monday morning.,Burney also remained an office-bearer of the Karachi Press Club for some time during her career. ,Various journalistic organisations had condemned the senior journalist's murder and demanded that the case be resolved swiftly."
4,2017-07-01,Poet's Corner,"			
"
5,2017-07-02,LHC gets reports: Judicial officers too find no evidence of torture of Dasti,"LAHORE: The judicial officers assigned to probe allegations of brutal torture levelled by incarcerated MNA Jamshed Dasti have found “no evidence of maltreatment”. ,Reports submitted to the Lahore High Court by judges of the anti-terrorism courts of Dera Ghazi Khan and Sargodha also denied the charges of releasing rats and scorpions in the jail cell of Dasti by police. The reports say Dasti was initially denied ‘B-category’ in the jail and kept in normal cell along with other inmates. However, he was shifted to B-category jail following an order by court on June 30. ,The reports further state that 40 people including the lawyer, mother, sister and other relatives met Dasti in prison. Dasti was medically examined by doctors in Dera Ghazi Khan and Sargodha but no marks of torture were found. ,Lahore High Court Chief Justice Syed Mansoor Ali Shah had taken notice of media reports regarding alleged torture meted out to the MNA from Muzaffargarh in jail. The chief justice had directed the judicial officers to personally visit the jail and observe the condition of the cell/barrack, where the MNA had been kept. ,Dasti had alleged that he had been subjected to severe torture in jail and deprived of food. He also accused the officials of often setting rats and scorpions on him in the jail cell and appealed to the Chief Justice of Pakistan and the LHC chief justice to take suo motu notice of his sufferings. ,MNA Dasti, who heads the Pakistan Awami Raj Party, is being tried for illegally opening a canal gate in his hometown. Police had registered a case against him on the complaint of irrigation department., Scores of workers of the Awami Raj Party and the Pakistan Tehreek-i-Insaf staged a protest rally in front of the District Jail on Saturday to voice their concern over the detention of Dasti. ,Sources say the MNA is involved in 25 cases various police stations have registered against him since 1993. ,A delegation of rights activists attempted to meet Dasti in jail but the authorities barred them from doing so. The authorities said 40 people including members of family had been allowed to meet Dasti and assured that all facilities were being provided to the politician in accordance with the jail manual and direction of court."
6,2017-07-02,5 arrested for ‘beating up’ army officer,"ISLAMABAD: A serving army officer has lodged a First Information Report (FIR) with the police against seven people for allegedly beating him and his sister besides snatching jewellery from the woman. ,The Bhara Kahu police arrested five of the suspects and are investigating the case. ,According to the FIR (copy available with Dawn), Lt Col Imran Ashraf stated that he was coming to Islamabad along with his family on Friday when around seven people riding a vehicle blocked his way on Murree Road in the limits of the Bhara Kahu police. ,Mr Ashraf alleged that the accused beat him so much that he fell unconscious. They then twisted the arm of his sister and snatched jewellery from her, he alleged. ,When contacted, Mr Ashraf confirmed the incident but said he did not want to comment. ,Rafiullah, the investigation officer of the case, told Dawn that five of the seven suspects had been arrested. ,“According to the arrested men, when they overtook the vehicle of the complainant, the latter abused them assuming that they were looking at his family. They confessed to beating the complainant but said the allegation of snatching jewellery from the woman was false,” he said. "
7,2017-07-03,25 arrested over kite flying,"LAHORE: The capital city police on Sunday claimed to have arrested 25 people for kite flying and seized kites and rolls of string from their possession.,Police registered 80 cases against those arrested under the Punjab Prohibition of Kite Flying (Amendment) Act 2009. ,A spokesman said police had launched a crackdown on people selling, making and flying kites. He said 10 people were arrested in Cantonment division while five each in City, Iqbal Town, and Civil Lines divisions. Police also seized 55 kites and 55 rolls of string from their possession. , A 40-year-old man was electrocuted while fixing an electric wire in North Cantonment.,Amjad, an electrician of the DHA main market, was fixing the wire at house when he received electric shocks. He was taken to nearby hospital where he succumbed to his injuries. Police handed over the deceased’s body to the family after completing legal formalities. "
8,2017-07-03,Under-trial prisoner commits suicide,"RAWALPINDI: An under-trial prisoner in Central Jail Adiala committed suicide for undisclosed reasons late Saturday night.,Mohammad Ameer, 45, had been charged with murdering his wife, and jail authorities claimed he committed suicide due to financial and domestic difficulties. ,Jail authorities also said he was suffering from psychiatric illness, and was admitted to the psychiatric ward by the medical officer on his first day in the prison. They said he was moved to the jail barracks on March 17 after he received treatment. ,Ameer was a Sargodha resident who was in good health when he was brought to prison by the Islamabad police, although he had a history of mental illness. He was found hanged by a bed sheet tied to a shower rod by the prisoners attendant, who let him down and attempted to revive him. Ameer was later pronounced dead by the jail doctor.,Quoting his son Mohammad Farooq and his brother Ghaffar Ahmed, the jail authorities said Ameer had been suffering from a psychiatric illness for the last two years and was brought to Islamabad from Sargodha for treatment.,The prison’s deputy inspector general Shahid Saleem Baig and a judicial magistrate later visited the scene and ordered an inquiry. ,Ameer was arrested by Ramna police on March 16 and charged with killing his wife. Police said he lived with his wife, Bushra Bashir, in Maira Jaffar in G-12. They said they were quarrelling, and during the fight Ameer had allegedly beaten her to death. ,The police later registered a murder case against Ameer, on a complaint from her brother Asif Bashir, and arrested him. He was shifted to Adiala jil on March 17, where he committed suicide. The body of the deceased was handed over to relatives after a post-mortem examination."
9,2017-07-03,"Indian gang-rape survivor attacked with acid, yet again","LUCKNOW: A gang-rape and acid attack survivor has once again been attacked with acid in Aliganj locality here, police said on Sunday. ,This was the fifth attack on the woman, they said. The latest incident took place on Saturday night near a hostel where she resides. ,She was rushed to a hospital where her condition was said to be stable. She has sustained burn injuries on her face and neck, according to police, adding that no FIR has been registered so far as they are waiting for a complaint. A probe is under way, they said. ,On March 23, the woman was allegedly forced to drink acid by two men on board a train near here. ,Uttar Pradesh Chief Minister Yogi Adityanath had visited her at a hospital and announced a compensation of Rs100,000 for the 45-year-old woman. ,The incident came to light when the woman got off the Allahabad-Lucknow Ganga Gomti Express at Charbagh Station here and gave a written complaint to the railway police. She wrote the complaint because she could not speak. According to the complaint, two persons had forced her to drink acid. ,Earlier, two men had allegedly raped and attacked her with acid over a property dispute in 2009 in her home at Unchahar, about 100 kilometres from Lucknow. ,The woman works with Sheroes Hangout Cafe, an outlet run by acid attack survivors in Lucknow. ,In 2012 the woman was attacked with a knife and in 2013 with acid, police sources said."
