UserName,FullName,Date,First Hashtags,Alt Hashtags,Tweet (Message Text),Retweets,Retweets (w/ Text),Likes,Likes (w/ Text),URL Path
@marvisirmed @marvisirmed @marvisirmed @marvisirmed @marvisirmed,Marvi Sirmed‏Verified account @marvisirmed,Apr 30,#PMLN,,"What exactly is a ""gharailu aurat""? I ask Rana Sanaullah and his party. Do you guys consider Maryam Nawaz Sharif & women members of #PMLN gharailu aurataiN? If yes, you're more messed than I ever thought. If no, you have totally lost your own argument. Think!",57 135 135 434 434,"Retweet
    
      
    135
  
  
    
      
      Retweeted
    
      
    135",,"Like
    
      
    434
  
  
    
      
      
      Liked
    
      
    434",/marvisirmed/status/990960496202407937
@nadia_a_mirza @nadia_a_mirza @nadia_a_mirza @nadia_a_mirza @nadia_a_mirza,Nadia Mirza‏ @nadia_a_mirza,3h3 hours ago,"#PMLN,RanaSanaullah,AbidSherAli,RespectWomen",#RanaSanaullah,"Pls correct me if I am wrong, Not a single woman of #PMLN  condemned #RanaSanaullah or #AbidSherAli abusive language they used for women.  #RespectWomen",71 120 120 369 369,"Retweet
    
      
    120
  
  
    
      
      Retweeted
    
      
    120",,"Like
    
      
    369
  
  
    
      
      
      Liked
    
      
    369",/nadia_a_mirza/status/991395818283372544
@MShahidRizwanK1 @MShahidRizwanK1 @MShahidRizwanK1 @MShahidRizwanK1 @MShahidRizwanK1,M Shahid Rizwan Khan‏ @MShahidRizwanK1,Apr 30,"#PMLN,Ranasanaullah,Ranasanaullah",#Ranasanaullah,"#PMLN have lost their senses. 
They d'nt how to respect a women.
Shame for #Ranasanaullah
Disgusting 
Kuch tu sharam Karo 
Kuch tu hay karo
#Ranasanaullah",2 1 1 8 8,"Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",,"Like
    
      
    8
  
  
    
      
      
      Liked
    
      
    8",/MShahidRizwanK1/status/990997911570976768
@marvisirmed @marvisirmed @marvisirmed @marvisirmed @marvisirmed,Marvi Sirmed‏Verified account @marvisirmed,Apr 30,,,"Rana Sanaullah's statement about women participating in yesterday's PTI jalsa, is puke worthy & despicable. PMLN men prove almost everyday the misogynist culture of their party and patriarchal character of their own. This entire lot of chauvinist males needs urgent replacement.",113 396 396 1.3K 1.3K,"Retweet
    
      
    396
  
  
    
      
      Retweeted
    
      
    396",,"Like
    
      
    1.3K
  
  
    
      
      
      Liked
    
      
    1.3K",/marvisirmed/status/990959815802408964
@marvisirmed @marvisirmed @marvisirmed @marvisirmed @marvisirmed @NomiiSahil @marvisirmed @mfahadasifmirza,Marvi Sirmed‏Verified account @marvisirmed Tiger Khan @NomiiSahil,Apr 29,,,This is how much PTI supporters respect women. Impressed. https://twitter.com/NomiiSahil/status/990691876356460544 … Pagal aurat kunsa nasha Kia hai.,132 32 32 156 156,"Retweet
    
      
    32
  
  
    
      
      Retweeted
    
      
    32",,"Like
    
      
    156
  
  
    
      
      
      Liked
    
      
    156",/marvisirmed/status/990692386853572609
@Piyare_l_o_g @Piyare_l_o_g @Piyare_l_o_g @Piyare_l_o_g @Piyare_l_o_g,Phuphi Di Lachi  ⏲️  😂  🙏 💕-Dani‏ @Piyare_l_o_g,10h10 hours ago,"#labour,alhmdulilah,یہ_ہاتھ_سلامت_ہیں_جب_تک",#alhmdulilah,"While Going To Hospital Children Ward For Distributing Food To The patients 
#labour Day
#alhmdulilah
#یہ_ہاتھ_سلامت_ہیں_جب_تک pic.twitter.com/zUNRXZ60si",2 19 19 26 26,"Retweet
    
      
    19
  
  
    
      
      Retweeted
    
      
    19",,"Like
    
      
    26
  
  
    
      
      
      Liked
    
      
    26",/Piyare_l_o_g/status/991285686459355136
@AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg,Alkhidmat Foundation‏Verified account @AlkhidmatOrg,Apr 24,"#Donate,Blood,Thalassemia",#Blood,#Donate Zakat and #Blood for the treatment of #Thalassemia children . pic.twitter.com/16iD623w9Y,1 16 16 22 22,"Retweet
    
      
    16
  
  
    
      
      Retweeted
    
      
    16",,"Like
    
      
    22
  
  
    
      
      
      Liked
    
      
    22",/AlkhidmatOrg/status/988711041499631618
@fiach @fiach @fiach @fiach @fiach,Fiach 🇵🇰 🇬🇧‏ @fiach,3h3 hours ago,,,"Under counted&under compensated!
The division of agricultural activities is highly gendered&many of the tasks undertaken by women are not regarded as work in many SE Asian contexts
Compelling @DFID_Research frm @LANSAresearch is call to action
https://assets.publishing.service.gov.uk/media/5ae869d0ed915d42f7c6bccb/8_PolicyPriorities_Online.pdf … pic.twitter.com/17aCWp46La",4 4 9 9,"Retweet
    
      
    4
  
  
    
      
      Retweeted
    
      
    4",,"Like
    
      
    9
  
  
    
      
      
      Liked
    
      
    9",/fiach/status/991389299819122688
@marvisirmed @marvisirmed @marvisirmed @marvisirmed @marvisirmed @Manzurkhan666 @smucmo @CMShehbaz,Marvi Sirmed‏Verified account @marvisirmed False Alarm @Manzurkhan666,6h6 hours ago,,,"Shameful on the part of Rana Sanaullah. CM shouldn't have covered for him. Each and every woman within PMLN who is silent and is not giving hell to mesogynists within the party, is accomplice. And this applies to PTI women too. Wake up ladies. And our Comrade gentlemen. https://twitter.com/Manzurkhan666/status/991343918200578048 … So Rana Sanaullah is more powerful than the Chief Minister...wowww...CM  apologizing on his behalf without naming or holding him accountable is  as useless as Coal power projects...",5 9 9 29 29,"Retweet
    
      
    9
  
  
    
      
      Retweeted
    
      
    9",,"Like
    
      
    29
  
  
    
      
      
      Liked
    
      
    29",/marvisirmed/status/991353301311672320
@marvisirmed @marvisirmed @marvisirmed @marvisirmed @marvisirmed @RehamKhan1,Marvi Sirmed‏Verified account @marvisirmed Reham KhanVerified account @RehamKhan1,7h7 hours ago,,,"Totally with you on this Reham. Everyone including women, who engaged in mudslinging against you, Ayesha Gulalai and others, need to be boycotted by all of us. That's includes Mr. Amir Liaqat whose leash has been extended considerably by his owners recently. https://twitter.com/RehamKhan1/status/991057724875132928 … Why did you guys not protest or boycott your fellow anchors & politicians? 
Why did I & my two daughters not qualify this outrage? https://twitter.com/RabiaAnumm/status/991018090069725190 …",1 17 17 32 32,"Retweet
    
      
    17
  
  
    
      
      Retweeted
    
      
    17",,"Like
    
      
    32
  
  
    
      
      
      Liked
    
      
    32",/marvisirmed/status/991335914352857093
