UserName,FullName,Date,First Hashtags,Alt Hashtags,Tweet,Retweets,Retweets (w/ Text),Likes,Likes (w/ Text),URL Path
@BeingSK_Soul @BeingSK_Soul @BeingSK_Soul @BeingSK_Soul @BeingSK_Soul,Sad Boy‏ @BeingSK_Soul,17-Feb,#JusticeForZainab,,"Good decision by the Court, Justice for little Angel. #JusticeForZainab",2 8 8 21 21,"Retweet
    
      
    8
  
  
    
      
      Retweeted
    
      
    8",,"Like
    
      
    21
  
  
    
      
      
      Liked
    
      
    21",/BeingSK_Soul/status/964942608211492864
@zara_ansari @zara_ansari @zara_ansari @zara_ansari @zara_ansari,Zara Ansari‏ @zara_ansari,17-Feb,#JusticeForZainab,,"Little girl Zainab's rapist sentenced to death,Hope today's verdict proves to be a lifetime lesson for devils hiding in human bodies! 
#JusticeForZainab",10 9 9 127 127,"Retweet
    
      
    9
  
  
    
      
      Retweeted
    
      
    9",,"Like
    
      
    127
  
  
    
      
      
      Liked
    
      
    127",/zara_ansari/status/964819226073731072
@samani_abro @samani_abro @samani_abro @samani_abro @samani_abro,Samani Abro‏ @samani_abro,25-Apr,#JusticeForZainab,,"Alas. Another Zainab. Heart wrenching. 
9 years Zainab, raped, killed in Larkana, Sindh. 
#JusticeForZainab
@salmanhydr @AWGoraya @atifthepoet @maxmemon  @imtiazchandyo @BBhuttoZardari @BakhtawarBZ @AasimSaeedPPP @AseefaBZ @MJibranNasir @SalmanBME @AKhoso11pic.twitter.com/4peA1anV5k",6 20 20 18 18,"Retweet
    
      
    20
  
  
    
      
      Retweeted
    
      
    20",,"Like
    
      
    18
  
  
    
      
      
      Liked
    
      
    18",/samani_abro/status/989088439307001857
@Officialneha @Officialneha @Officialneha @Officialneha @Officialneha,Neha Sharma‏Verified account @Officialneha,17-Feb,#JusticeForZainab,,So glad justice has been achieved for Zainab - hope we can now have justice for the thousands of child abuse victims in the world   #JusticeForZainab,32 154 154 1.4K 1.4K,"Retweet
    
      
    154
  
  
    
      
      Retweeted
    
      
    154",,"Like
    
      
    1.4K
  
  
    
      
      
      Liked
    
      
    1.4K",/Officialneha/status/965123001896194048
@Shahidmasooddr @Shahidmasooddr @Shahidmasooddr @Shahidmasooddr @Shahidmasooddr,Dr Shahid Masood‏ @Shahidmasooddr,6-Mar,#JusticeForZainab,,Leaving for SC.#JusticeForZainab case.,338 145 145 1.3K 1.3K,"Retweet
    
      
    145
  
  
    
      
      Retweeted
    
      
    145",,"Like
    
      
    1.3K
  
  
    
      
      
      Liked
    
      
    1.3K",/Shahidmasooddr/status/971233359329447937
@ajplus @ajplus @ajplus @ajplus @ajplus,AJ+‏Verified account @ajplus,20-Feb,#JusticeforZainab,,"24-year-old Imran Ali has been sentenced to death for the rape and murder of 7-year-old Zainab in Pakistan. He confessed to raping a total of 9 girls, 7 of whom he killed.
The little girl's killing sparked nationwide #JusticeforZainab protests this year. pic.twitter.com/L4qPJw0KDG",10 565 565 540 540,"Retweet
    
      
    565
  
  
    
      
      Retweeted
    
      
    565",,"Like
    
      
    540
  
  
    
      
      
      Liked
    
      
    540",/ajplus/status/966059881030500352
@metaphysist @metaphysist @metaphysist @metaphysist @metaphysist,The Metaphysicist‏ @metaphysist,13-Apr,"#JusticeForZainab,JusticeForAsifa",#JusticeForAsifa,"Wild beast don’t rape..
Only happens in this so called civilised world by Satan’s worshippers in disguise of crown of creation!!
#JusticeForZainab
 #JusticeForAsifa",11 11 25 25,"Retweet
    
      
    11
  
  
    
      
      Retweeted
    
      
    11",,"Like
    
      
    25
  
  
    
      
      
      Liked
    
      
    25",/metaphysist/status/984862452008603648
@ThePiousOnes @ThePiousOnes @ThePiousOnes @ThePiousOnes @ThePiousOnes,ThePiousOnes‏ @ThePiousOnes,2-Mar,"#islam,join,allah,quran,christian,now,muslim,justiceforasma,justiceforzainab,hajj,umrah,benefit,muhammad,prophet,messenger,mercy,pious,saveghouta,help,rohingya,ghouta,aid,charity",#join,"“WHY ISN’T ALLAH HELPING THE  UMMAH?” [-Link In Bio-]
____________________
 #islam #join #allah #quran #christian #now #muslim #justiceforasma #justiceforzainab #hajj #umrah #benefit #muhammad #prophet #messenger #mercy #pious #saveghouta #help #rohingya #ghouta #aid #charitypic.twitter.com/okAEeEqzlw",5 4 4 4 4,"Retweet
    
      
    4
  
  
    
      
      Retweeted
    
      
    4",,"Like
    
      
    4
  
  
    
      
      
      Liked
    
      
    4",/ThePiousOnes/status/969572623347838976
@Datzmenoni @Datzmenoni @Datzmenoni @Datzmenoni @Datzmenoni,YK Lee‏ @Datzmenoni,7-Apr,"#JusticeForZainab,SayNoToDomesticViolence",#SayNoToDomesticViolence,"The case is still undergoing investigation while her body and her daughter's is lying at Lagos island mutuary.
(GRAPHIC CONTENT) 
#JusticeForZainab #SayNoToDomesticViolencepic.twitter.com/pTtmvkLH1K",5 64 64 16 16,"Retweet
    
      
    64
  
  
    
      
      Retweeted
    
      
    64",,"Like
    
      
    16
  
  
    
      
      
      Liked
    
      
    16",/Datzmenoni/status/982623790516621312
@IbeChilli @IbeChilli @IbeChilli @IbeChilli @IbeChilli,Fitna.‏ @IbeChilli,20-Apr,#JusticeForZainab,,"BUT THEY CAN'T FORGET.
They can't replace what's lost from their happy lives. They can't change what that monster did to their 8 years old little daughter. They can still remember her calling their names. THEY WANT JUSTICE!
#JusticeForZainab (7) pic.twitter.com/eFZGj7bzV0",3 41 41 63 63,"Retweet
    
      
    41
  
  
    
      
      Retweeted
    
      
    41",,"Like
    
      
    63
  
  
    
      
      
      Liked
    
      
    63",/IbeChilli/status/987298234728148992
