UserName,FullName,Date,Hashtags,Tweet,Likes,RTs
,,Jan 31,"A,JusticeForZainab","A good way to remind everyone. 
#JusticeForZainab pic.twitter.com/FPKd2nnJXD",,
,,Feb 1,"kuch,JusticeForZainab","kuch to insaniyat rakho (so called insano)
Justice For Baby Nirbhaya
#JusticeForZainab 
No Mercy For Rapists",,
,,Jan 29,"Presenting,JusticeForZainab,ZainabMurderCase,Zainabpic.twitter.com/Dn2WXvpzE6","Presenting you the makhlooq called ""Pakistani Liberals""
#JusticeForZainab #ZainabMurderCase #Zainabpic.twitter.com/Dn2WXvpzE6",,
,,Feb 10,"Why,ZainabMurderCase,JusticeForZainab",Why is #ZainabMurderCase getting pushed aside??! #JusticeForZainab pic.twitter.com/AMvWCuuL9A,,
,,Feb 2,"PML,Pakistan,JusticeForZainab,BachhaBazi,Thighing,paedophilia",PML MP Nissar Muhammad in #Pakistan again showing why #JusticeForZainab too has failed to wake its conscience to end #BachhaBazi #Thighing #paedophilia & you know it has religious as well as political sanction! @AlamSabah @TarekFatah @taslimanasreen @mauseen_khan @DrNausheenKhanpic.twitter.com/Hu2t8Q9Ah7,,
,,Feb 1,"This,JusticeForZainab",This is official version of PMLN. #JusticeForZainab https://twitter.com/Fereeha/status/958752263463424000 …,,
,,Feb 2,"No,,JusticeForZainab","No, we did not forget Zainab. Just hang him as soon as possible. Thank you. #JusticeForZainab",,
,,Feb 6,Agr,Agr sb log appeal kre ge to he bne ga law otherwise public hanging ni ho ge or yeh incidents ka silsila rukne ni wala.#JusticeforZainab,,
,,Feb 8,"Hundreds,JusticeForZainab,JusticeForNationpic.twitter.com/jGQzyfCmQP","Hundreds of children's abused specially in Kasur, Zainab is among those 
BBC Report on Zainab Murder 
Anger and anguish over child's murder in Kasur  #JusticeForZainab
#JusticeForNationpic.twitter.com/jGQzyfCmQP",,
,,Jan 29,"pakistanis,justiceforzainab",pakistanis will tweet #justiceforzainab straight after feminism is cancer lmao,,
