UserName,FullName,Date,Hashtags,Tweet,Likes,RTs
,,5h,"What,PMLN","What exactly is a ""gharailu aurat""? I ask Rana Sanaullah and his party. Do you guys consider Maryam Nawaz Sharif & women members of #PMLN gharailu aurataiN? If yes, you're more messed than I ever thought. If no, you have totally lost your own argument. Think!",,
,,5h,Rana,"Rana Sanaullah's statement about women participating in yesterday's PTI jalsa, is puke worthy & despicable. PMLN men prove almost everyday the misogynist culture of their party and patriarchal character of their own. This entire lot of chauvinist males needs urgent replacement.",,
,,3h,"#PMLN,Ranasanaullah,Ranasanaullah","#PMLN have lost their senses. 
They d'nt how to respect a women.
Shame for #Ranasanaullah
Disgusting 
Kuch tu sharam Karo 
Kuch tu hay karo
#Ranasanaullah",,
,,23h,This,This is how much PTI supporters respect women. Impressed. https://twitter.com/NomiiSahil/status/990691876356460544 …,,
,,Apr 20,"A,AliZafar,MeeshaShafi:",A rare photo of #AliZafar trying to harass #MeeshaShafi: pic.twitter.com/CPSSX7ChVi,,
,,32m,@DrAyeshaNaveed,@DrAyeshaNaveed @IN FACT IF you investigate his women at home listen the same dirty Language so he is INCORRIGIBLE.,,
,,39m,"#SongsOfFreedom2018,MashalKhan,BachaKhanUniAttack,Malala,SongsOfFreedom2018","#SongsOfFreedom2018
We want an end to the education system which has killed many young students from #MashalKhan to #BachaKhanUniAttack it has bred killers of kids like Zainab. The narrative that has turned a killer into hero and curses peaceful #Malala 
#SongsOfFreedom2018",,
,,2h,Wallah,"Wallah I’m not gonna make my children’s life as I’m spending it, like hell bored, I will have some games in my house and weekly tour nearest part where I will live.",,
,,2h,"We,sexualharrasment,songsoffreedom2018",We aim to end #sexualharrasment across campuses. We demand an immediate end to oppression on women in our society #songsoffreedom2018,,
,,3h,#OneShiningYearOfPTS,"#OneShiningYearOfPTS 
The selfie  of the year, credit goes to @ImranKhanPTI because no other leader can even tolerate to be someone like this child so close to him pic.twitter.com/hD0PezyWXa",,
,,3h,#Shab_e_Barat,"#Shab_e_Barat
A Night of Blessing 
All Human deeds is presented above & the decisions of life and Death are made for the next year May Almighty Allah forgive our all sins I Request to all of u please remember each other in your prays",,
,,4h,"Strongly,WomenmysisterWomenmyMother,RanaSanaullah","Strongly Condemn the disgraceful  words used by Rana Sanaullah for Women.
 Therefore we want to kick them. We believe in women empowerment, part of 11 point agenda of PTI. #WomenmysisterWomenmyMother
#RanaSanaullah pic.twitter.com/Lc6kHUePSU",,
,,4h,In,"In the very moments when Imran Khan included women empowerment in his 11 points. 
Appalled by the statements made by PMLN representatives seeing how Maryam Nawaz, a woman, is now the face of the party. https://twitter.com/uzair_rehman28/status/990978008637992960 …",,
,,6h,"Outrageous,women,PTIMinarePakistanJalsa,votes,respect","Outrageous & condescending statement by Rana Sanaullah about #women among general public in #PTIMinarePakistanJalsa 
If those women were any potential voters for him then he has lost their #votes & #respect forever. It's like digging one's own grave! pic.twitter.com/OvJDileKXn",,
,,7h,#Alkhidmat,#Alkhidmat Foundation Pakistan Multan chapter arranged a free medical camp for the orphan children. As many as 195 orphan children registered with Orphan Care Program were examined on the occasion. A number of specialist doctors participated in the camp. pic.twitter.com/Q5gSnxuyHi,,
,,8h,"Imran,PTIMinarePakistanJalsa,دو_نہیں_ایک_پاکستان","Imran Khan Eleven Point Agenda April 29 in Lahore:
1. Education
2. Healthcare
3. Tax Reform
4. Corruption Control
5. Economy
6. Employment
7. Tourism
8. Agriculture
9. Federation & Provincial Reform
10. Justice
11. Women Empowerment
#PTIMinarePakistanJalsa
#دو_نہیں_ایک_پاکستان",,
,,9h,"Khan,ایسا_ہوگا_نیا_پاکستان","Khan does not have a history of having had people punished brutally or beaten or attacked.
#ایسا_ہوگا_نیا_پاکستان",,
,,Apr 28,Save,Save ur daughters & women ! When a man becomes animal he don’t respect the women & relation ! Bullet in head is needed to Rapist ! @KPKUpdates @PeshawarCCPO @kpk_police @ChitralPolice @SalahuddinKhanM @IGPpunjab @ICT_Police @pid_gov @GovtOfPunjab,,
,,Apr 28,Alkhidmat,"Alkhidmat Foundation Pakistan is going to organize ""Annual Charity Dinner for Street Children"" at Lahore Pearl Continental Hotel on May 18th.The event is aimed at highlighting the contributions of AKFP for rehabilitation of the children through Alkhidmat Child Protection Center. pic.twitter.com/mQpqYCn6PC",,
,,Apr 26,First,"First ever conviction in Child Pornography Scam just went today into pocket of FIA Cyber Crime Circle Lahore regarding an international scam due to effective prosecution and investigation.
2) Sadat Amin was arrested from Sargodha on the complaint of Norweign Embassy 1/4",,
,,2h,PMLN,PMLN has no respect for women. All women members of PMLN must protest against the garbage vomited by Rana Sanaullah and Abid SherAli.,,
,,3h,"Strongly,WomenmysisterWomenmyMother,RanaSanaullah,PTIMinarePakistanJalsa","Strongly Condemn the disgraceful  words used by Rana Sanaullah for Women.
 Therefore we want to kick them. We believe in women empowerment, part of 11 point agenda of PTI. #WomenmysisterWomenmyMother
#RanaSanaullah
#PTIMinarePakistanJalsa pic.twitter.com/uGLXVjYm0j",,
,,5h,"A,PashtunLongMarch2Swat,PashtunTahafuzMovement","A single tear of a child, who's father is kidnapped by the deep state, is more valuable than the flags of 200+ countries.  You do not need to teach us morality and respect.
#PashtunLongMarch2Swat
#PashtunTahafuzMovement",,
,,12h,Shab-e-Barat,Shab-e-Barat Is To B Arrived Soon Our Future Of Life Or Death Will Be Written That Night So I Openly Appologize To All Of U If Ever I Hv Hearted You Directly Or Indirectly Plz Forgive Me Remember Me In Ur Pray! God Bless You All,,
,,16h,Again,Again target killings in Quetta. Blood in Quetta again. Is it a new round and will it continue? This brutal act must be stopped immediately.,,
,,Apr 29,Women,Women who can't perform hajj without mahram are allowed to dance in IK variety show,,
,,Apr 29,Wallah,"Wallah it’s not just for fun, logo ki zindage barbad hoty deakha hai, death is not a joke, being psycho is not a joke, being in comma is not a joke. Grow up people just grow you mind.",,
,,Apr 28,Nobody,Nobody ever wanted to attack you ever you yourself bump into people and wanted yourself to be attacked every time there is a minute issue. Just because you shout well doesn’t mean you are representing true women rights. Your kind of attitude is highly condemnable. https://twitter.com/shireenmazari1/status/989918043022209024 …,,
,,Apr 27,There,"There are even more elevated personalities vis_a_vis charity. I consider IK is even heads and shoulders taller than the great Edhi in this context. But Fatima Jinnah deserve this honour, for shouldering Quaid-i-Azam in creation of Pakistan in which Rwp airport is located",,
,,Apr 26,Alkhidmat,"Alkhidmat Foundation Pakistan celebrated Orphan Solidarity Day in collaboration with Turkish NGO IHH at Islamabad. A large number of 600 orphan children and their families participated in the event. Rao Muhammad Zafar, President AKFP Punjab was also present on the occasion. pic.twitter.com/ZcnhWnIZL0",,
