,head,topic_rep,Includes Hariri
2077,Dr Qadeer declared distinguished alumnus of three world varsities,0.933511376,
885,"In demanding Hariri’s return, Lebanese find rare unity",0.912931979,
389,Saudi Arabia ‘imposed’ Hariri’s resignation: Hezbollah,0.899922132,
336,Workers at Zara leave notes on clothes claiming fashion retailer has not paid them,0.899778903,
190,"PCB conditionally allows Inzamam to purchase T-10 outfit, work with Qalandars",0.893688142,
2100,Lebanon's Hariri says Damascus wants him killed,0.870090008,
1344,Argentina intensifies search for missing submarine with 44 crew,0.847031474,
1662,"Hariri returns home, shelves resignation",0.839695573,
947,How we can revive the shrinking Indus delta,0.832850993,
1273,Lebanon's Hariri caught in regional feuds,0.799765706,
1962,Lebanese PM Hariri threatens to resign if Hezbollah shuns power-sharing arrangement,0.79643321,
1214,Hariri accepts invitation to France,0.78592515,
429,Saudi king meets outgoing Lebanese PM Hariri,0.785642028,
14,PIA leaves two coffins behind in New York,0.783074915,
1494,Merkel fighting to stay Germany’s ‘eternal chancellor’,0.761005402,
1102,"Akshay Kumar introduces Radhika Apte, Sonam Kapoor as 'reason' and 'strength' behind Padman",0.75717485,
1346,Nasa launches next-generation weather satellite,0.750500739,
1172,"Hariri is free to leave 'when he pleases', says Saudi foreign minister",0.746772826,
508,"Outgoing Lebanese PM Hariri leaves Saudi, meets Abu Dhabi crown prince in UAE",0.739289999,
730,"'We think Lebanon's Hariri free to move around,' says French foreign minister",0.705637097,
1321,Lebanon's Hariri arrives in Paris after Saudi 'hostage' rumours,0.705167472,
446,Saudi stocks hit by political purge; Gulf feels the chill,0.702947795,
161,"Punjab, other provinces grapple with debilitating effects of smog",0.699567556,
1444,"100 visiting Hindu pilgrims call for peace between Pakistan, India",0.699332774,
2050,Assad negotiators meet UN envoy at Syria peace talks,0.699241102,
1512,Merkel shows readiness for fresh elections,0.695293307,
1198,Lebanon's 'detained' premier to travel to France,0.694059432,
1605,"After prolonged stay in Saudi, Hariri back in Lebanon following shock resignation",0.688713849,
110,Pakistan Navy buying vessels for special operations from US company,0.673653066,
1135,Why a curious TV interview in Riyadh proves Saad Hariri is desperate,0.658205926,
150,"Explosion at Indian power plant kills 26, injures dozens",0.654177964,
302,"Smog thickens over Punjab, traffic disrupted",0.653531373,
229,Smog not that alarming: govt,0.644906521,
1281,"For Hariri, Saudi Arabia no longer feels like a home away from home",0.640872836,
1219,Fall from Grace: Mugabe’s wife was his weakness,0.635142326,
97,Fit-again Mathews available for India tour,0.633404016,
