,head,topic_rep,"0.63: Qandeel murder case, sexual harrasment, child abuse reports"
1404,"Qandeel murder case: Mufti Qavi apprehended, arrested on the way to Jhang",0.996743262,
1499,Court awards capital punishment in murder case,0.995875776,
898,Qandeel murder case: arrest warrants issued for Mufti Abdul Qavi,0.993786573,
793,Petitions filed against LHC decision to release police officers convicted in BB murder case,0.992630303,
1758,"Bodies of man, woman recovered from hotel room in Bahawalpur",0.990460157,
423,Sharmeen Obaid's 'A Girl in the River' wins best documentary at the Emmys,0.989506185,
672,Rape case against three in Hussain Khanwala village,0.988621175,
2364,Harassing women,0.986939609,
1808,11-year-old girl's body recovered by police in Karachi,0.986882746,
857,Three Ahmadi men sentenced to death on blasphemy charge,0.98183763,
1844,Pakistan's first Sufi opera singer performs at PNCA,0.980718017,
2153,Man in Rahim Yar Khan handed life imprisonment for committing blasphemy,0.980387688,
2279,"Qandeel murdered on behest of Mufti Qavi, father tells court",0.974684894,
1314,Mufti Qavi appears before court in Qandeel murder case for the first time,0.97378546,
800,Teenage boy tortured to death by police officials,0.969183564,
2369,"Murder, rape convict executed in Hyderabad",0.960696042,
2005,Bush senior apologises for ‘attempt at humour’ after  actress accused him of groping,0.951808155,
1942,Suspect remanded in Perween Rahman murder case,0.939222872,
840,‘Exorcists’ torture chikungunya patient to death to rid him of jinn,0.933363497,
2354,Police officer arrested in Rawalpindi couple kidnapping case,0.930046499,
1749,"Relax, Malala's jeans aren't an assault on your national identity",0.91655916,
1640,Landlord tortures two on alleged theft charges,0.916042387,
1504,Qavi hospitalised with cardiac complaint,0.912633538,
2349,Nawazuddin Siddiqui withdraws tell-all memoir from stands amid controversy,0.909599721,
2067,"A claim of harassment stirs debate, draws Sharmeen Obaid Chinoy into focus",0.900185585,
1709,57 fourth schedulers yet to submit surety bonds,0.896028519,
2072,Compilation of Sabeen Mahmud tributes launched,0.890828907,
2158,FICTION: A TRAGIC FOOTNOTE IN AMERICAN HISTORY,0.869545698,
1135,Motion picture Academy kicks out disgraced Hollywood mogul Harvey Weinstein,0.864556372,
850,"DSP, others arrested in Karachi for keeping three men in illegal custody",0.859058261,
2320,Seven held over DI Khan girl torture case,0.855686426,
1824,Soldier’s widow angry Trump didn’t know her husband’s name,0.845602512,
2264,Kevin Spacey apologises and comes out as gay after sexual advance claim,0.843185008,
338,Writers in Peshawar celebrate 100 years of Pashto fiction,0.841549098,
1398,George Saunders’ Lincoln in the Bardo wins Booker prize,0.831945717,
2370,"'There has been no change': A year on since law passed, men still kill women for 'honour' in Pakistan",0.825233877,
1294,Is Riz Ahmed going to be the new Hamlet in Netflix's upcoming production?,0.819826305,
1215,Thousands worldwide respond 'me too' to actress's Twitter prompt on sexual abuse,0.814892352,
1295,Multan woman handed death sentence for husband's murder,0.811572134,
1412,"Pakistani women use hashtag to expose scale of sexual abuse
",0.810986936,
2371,Muslim activist details rape claims against Oxford professor,0.810647309,
1073,Weightlifter Maryam Nasim hopes to represent Pakistan internationally one day,0.807898819,
944,"Man, woman facing honour killing rescued near Larkana",0.803260565,
2023,Kim brother’s murder: video shows four N. Korean suspects,0.795663357,
970,"NYC, London police taking fresh look at Weinstein sex abuse allegations",0.79339385,
1139,NARRATIVE ARC: CROSSING CULTURAL DIVIDES,0.789739728,
1313,Panama Papers journalist killed in Malta car bomb,0.785704792,
2249,Airline refuses to take American woman being deported by Pakistan home,0.779487729,
626,Gujarat riots: Indian court commutes death sentences of 11 Muslim men,0.777784467,
641,Farhan Akhtar calls media discriminatory towards Hrithik Roshan in open letter,0.772945106,
2092,South African farmers jailed for forcing black man into coffin,0.767105877,
1611,Man found hanging from tree in Rawalpindi in alleged 'honour killing',0.766204059,
2029,Alleged sex trafficking victims recovered from Islamabad's Bahria Town,0.762251556,
1090,Men who abused children with special needs say they were 'disciplining' them,0.761906087,
