,head,topic_rep
0,"Sahibzada Ali, Hania, Eibad win national tennis titles",0.047111812978982925
1,Anti-IS ‘sheikh sniper’ killed in battle for Iraq’s Hawija,0.0
2,Thousands march in Dublin against Irish abortion laws,0.0756012499332428
3,Trump’s scandal-hit health secretary resigns,0.06365949660539627
4,US probes North Korea's willingness to talk,0.11579781770706177
5,Jet carrying 88 overshoots runway on German island of Sylt,0.0
6,"Xi says study capitalism, but Marxism remains top",0.0
7,‘Hundreds benefitted from plots policy’,0.0
8,Iran urges Europe to defy Trump on sanctions,0.0
9,Iran puts economic squeeze on Iraqi Kurds,0.0
10,What nine countries founded in past 25 years teach Catalonia?,0.0
11,"Losing Syria bastion, IS lashes out behind front lines",0.0
12,Jail officials say CTD implicating them in ‘false’ case,0.0
13,LEAs still clueless about 2009 Ashura blast suspects,0.0
14,"Imported snooker tables sold to meet PBSF expenses, foreign trips",0.0
15,Air strikes kill 28 civilians in Syrian safe zone,0.0
16,Baseball team departs for Asian Championships,0.0
17,"Sharif’s children, son-in-law to skip hearing",0.0
18,National T20 participation mandatory for contracted players,0.3389325439929962
19,SHO among 17 policemen booked for killing two,0.0
20,PPP accuses PTI of creating division in opposition ranks,0.0
21,"Petrol, diesel prices up by Rs2",0.0
22,Army chief heads to Kabul today,0.0
23,Spy agency discredits own official,0.0
24,Exclusive: The CPEC plan for Pakistan’s digital future,0.22506460547447205
25,"Standoff between Spain’s central govt, separatists over independence vote",0.0
26,Bangladesh avert follow-on in first SA Test,0.0
27,SC restores NBP pensions to 70pc mark,0.0
28,BISP earns $794m forex over performance,0.0
29,New round of regulatory duties planned to curtail imports,0.0
30,Index sheds 341 points in outgoing week,0.0
31,AIG stripped of ‘too big to fail’ label,0.0
32,Saudi Arabia back in recession,0.0
33,Top coal miner to buy metal mines abroad,0.0
34,China moves to boost lending to small firms,0.0
35,Election symbol allotted to Tehreek-i-Labbaik Pakistan,0.01640363223850727
36,"132,000 people in Pakistan living with HIV, survey finds",0.0
37,This haleem recipe is almost too good to share,0.175528421998024
38,NON-FICTION: THE POET’S QUEST,0.17271597683429718
39,"PCB to offer $10,000 per match in Pakistan to foreign PSL players",0.0
40,Trump calls Puerto Rican officials after lashing out at pleading mayor,0.0
41,Xi touts Trump 'friendship' in talks with Tillerson,0.0
42,Chikungunya thrives in Karachi's five towns,0.0
43,"UAE begins collecting 'sin' taxes on tobacco, energy drinks",0.0
44,Ashura processions culminate peacefully across country,0.0
45,Hong Kong democracy rally marks China national day,0.03861897811293602
46,Marilyn Manson injured mid-concert after stage prop topples on him,0.44363483786582947
47,Spanish PM says 'rule of law has prevailed' after 350 injured in Catalonia,0.015473506413400173
48,4 people injured in 'terrorism' attack on officer in Canada,0.0
49,Property tycoon Malik Riaz booked in alleged land grab case,0.0
50,Indian policeman arrested for raping 7-year-old girl,0.0
51,"COAS, Afghan president meet in Kabul, discuss regional security",0.0
52,Physical abuse of 9-year-old girl by teacher causes outcry in AJK,0.0
53,Disgraced American football star O.J. Simpson freed from jail on parole,0.0
54,Saudi university to open driving school for women,0.0
55,Two women killed in Marseille station knife attack,0.0
56,Pakistan boxer Waseem maintains ranking in Panama fight,0.0
57,Malala asked for packing tips for Oxford. How did Twitter respond?,0.0
58,FICTION: INNOCENCE LOST,0.21391397714614868
59,IMAGINATION IS A DANGEROUS BEAST,0.80650395154953
60,FICTION: TEA FOR TWO,0.2315339744091034
61,NON-FICTION: A GOD IN EVERY STONE,0.2511165738105774
62,NARRATIVE ARC: MUDDLING THE LINES,0.2902134656906128
63,ALEXI PICKS,0.17199552059173584
64,NON-FICTION: WOMEN AT WAR,0.2659724950790405
65,FOOTPRINTS: LAND OF WONDER,0.12504033744335175
66,Political uncertainty knocks off another 655 points from benchmark index,0.0
67,"Lahore celebrates Banned Books Week with readings of Rais Amrohvi, Ahmed Faraz and J K Rowling",0.05711483210325241
68,Oxford college removes Suu Kyi’s portrait,0.0
69,"12 dead as DR Congo army plane crashes, say authorities",0.0181252583861351
70,"Hard hit by a drop in oil income, Gulf states say goodbye to tax-free reputation",0.0
71,SMOKERS’ CORNER: RELIGIOUS RIGHT RISING?,0.0
72,Japan business confidence hits decade high,0.0
73,Special Report: Democracy in Disarray 1974-1977,0.2289571613073349
74,"When nothing could stop Karachi's trans community: not Chanda's murder, Muskan's rape, nor Payal's kidnapping",0.26400184631347656
75,"5 injured, Somalian suspect arrested as Canada probes 'act of terrorism'",0.0
76,Women plead not guilty in N. Korean scion's assassination,0.0
77,'Skin and bones': doctors fear for malnourished Rohingya kids,0.1498626321554184
78,Sonakshi Sinha joins the cast of Happy Bhaag Jayegi Returns,0.9926787614822388
79,Myanmar takes foreign diplomats into conflict-torn Rakhine,0.0
