,dates,heads,topic_rep
0,2018-02-18,'Nawaz to appoint Shahbaz as PML-N president on Sept 7',0.994171798
1,2017-10-03,PML-N mulls over post-Senate elections strategy,0.9911215309999999
2,2017-11-06,"PM Abbasi rules out NA dissolution before time
",0.98877275
3,2018-05-07,PTI wants polls before April to avert crisis over census,0.986909866
4,2017-10-13,PTI belatedly steps up bid for Senate opposition leader slot,0.98547399
5,2017-12-21,"Two more PML-N lawmakers join PTI
",0.9849206209999999
6,2018-01-29,Opposition parties fail to reach consensus on joint candidate for PM's office,0.984576762
7,2018-03-14,"PTI, MQM join hands to oust Khursheed Shah as opposition leader",0.9830247759999999
8,2018-04-06,PML-N probe body to fix blame for controversial Khatm-i-Nabuwwat amendment,0.981890023
9,2017-10-17,"15 independent senators backed by PML-N in Senate polls join treasury
",0.9802918429999999
10,2017-11-03,"Abbasi, Shah to discuss caretaker set-up on Wednesday
",0.980059505
11,2018-04-01,"Law minister rejects objections to Election Act 2017, calls it a unanimous decision",0.9776877159999999
12,2018-05-08,Imran challenges Election Reforms Act 2017 in SC for being against Constitution,0.975628197
13,2018-05-07,Shah suggests polls on basis of old census,0.9712213279999999
14,2017-10-14,PTI challenges PPP move to nominate Sherry Rehman as opposition leader in Senate,0.969653606
15,2018-05-22,"PML-N, opposition set to spar in National Assembly today over poll law",0.968984187
16,2017-09-13,It’s time for appointing caretaker PM: Khursheed,0.968097329
17,2017-12-19,"Abbasi may endorse Shah’s nominee for caretaker PM
",0.9676576259999999
18,2017-10-06,"PTI says won’t vote for PPP, PML-N in Senate posts poll",0.966189981
19,2017-12-20,"ECP suggests July 25-27 as possible dates for election
",0.965005875
20,2018-05-23,Passage of delimitation bill delayed further,0.9646316770000001
21,2017-12-26,"Khyber Pakhtunkhwa Assembly may validate Fata bill today
",0.9618912940000001
22,2018-04-23,Senate to take up Elections (Amendment) Bill 2017,0.961592853
23,2018-05-10,CCI to meet on Monday to resolve delimitation crisis,0.961480379
24,2017-12-15,"Abbasi, Shah to discuss caretaker PM nominees today
",0.961329579
25,2018-05-09,Parties' deadlock over census remains; Parliamentary Committee meeting ends inconclusively,0.9607320429999999
26,2017-12-27,"KP's search for caretaker CM back to square one as Khan ends Afridi's candidacy amid criticism
",0.9603976009999999
27,2017-09-21,"PML-N's Senate nominees to contest election as independent candidates, says ECP",0.960033774
