,dates,heads,topic_rep
0,2018-04-01,US-led strike kills 18 civilians in Syria's Raqa: monitor,0.992519736
1,2017-09-28,Saudi-led air strikes kill nine in Yemen,0.991441488
2,2018-02-20,"At least 30, including civilians, killed in Yemen air raids",0.987974703
3,2018-04-18,US-backed forces take Raqa hospital from IS,0.975412548
4,2018-03-02,US-backed Syrian force seizes Raqa Old City,0.970615387
5,2018-04-24,65 bodies of civilians found in Syrian town taken from IS,0.9651877879999999
6,2017-10-08,"Syria war has killed more than 350,000 in 7 years: monitor",0.94470191
7,2017-10-11,"Turkish-led assault on Syria's Afrin displaced 30,000 in a day",0.931096315
8,2017-08-14,31 killed in Baghdad twin suicide blast: officials,0.930846691
9,2018-03-04,400 killed in Boko Haram attacks since April: Amnesty,0.9302371140000001
10,2018-02-21,Saudi security forces display military might ahead of Haj,0.929858506
11,2018-01-16,"Syria war has claimed more than 330,000 lives since 2011: monitor",0.923137546
12,2017-10-23,"Nine soldiers, five militants killed in attack on elite Yemeni force
",0.918953896
13,2017-10-14,Rebel rocket fire kills 29 in Damascus suburb: Syrian state TV,0.8992557529999999
14,2018-02-20,Dozens ‘dead’  in US-led  strikes in Raqa,0.899082065
15,2018-05-14,"Mass graves found in Iraq, could contain up to 400 bodies",0.899051845
16,2017-10-28,"Air raid kills 16 near Yemen port of Hodeida
",0.897475958
17,2018-01-17,"IS stronghold in Raqqa 'liberated', says SDF",0.89221251
18,2018-02-05,Attackers kill 50 villagers in Afghanistan,0.874628484
19,2018-02-14,Fire destroys buildings in Saudi Unesco heritage site,0.8706160190000001
20,2018-01-03,"Man blows himself up in Damascus after car chase, kills 18",0.865354359
21,2018-05-13,"Artillery fire, Russian airstrikes on displacement camps kill at least 26 in Syria",0.86341846
22,2018-04-12,Civilians start pouring out of Raqa,0.8627521990000001
23,2018-01-19,Saudi airstrike in Yemen leaves 20 civilians dead,0.861127615
24,2018-03-25,US-led strikes killed 84 civilians near Syria's Raqqa in March: HRW,0.858660877
25,2017-11-04,"Six killed in Herat blast in western Afghanistan
",0.849327087
26,2018-03-16,Yemen soldier kills Al-Qaeda detainees to avenge his father's murder,0.8485686179999999
27,2018-05-22,At least 50 dead in Nigeria mosque bombing during early morning prayers: police,0.845832288
28,2017-08-11,Saleh’s nephew resurfaces after six weeks,0.8437390920000001
29,2018-05-11,Millions attend Arbaeen commemoration in Karbala,0.843194723
30,2017-10-19,"Turkey claims full control of Afrin
",0.838831365
31,2018-04-15,IS on verge of defeat in its Syrian bastion,0.835938215
32,2017-07-16,Air strike by Saudi-led coalition kills 10 women in Yemen,0.8317769770000001
33,2018-03-03,"‘Armed resistance from women, children’ in Marawi",0.83174479
34,2018-01-06,IS fights fiercely in shrinking  Iraqi and Syrian strongholds,0.8246515390000001
35,2018-02-02,Nine family members killed in Yemen air strike,0.823123574
36,2017-12-14,"In pictures: Muslims across the world welcome holy month of Ramazan
",0.82259357
