,head,topic_rep,0.43: Kashmir
10224,FO summons Indian DHC over ceasefire violations,0.890672922,
5199,Amnesty International urges ban on pellet shotguns in held Kashmir,0.848917007,
4508,Pakistan summons Indian envoy over death of 8-year-old in LoC violation,0.832050323,
20369,"Students clash with Indian police in Srinagar
",0.819623113,
14183,Pakistan lodges protest with India as elderly woman in AJK dies in cross-border firing,0.802478254,
18095,Protest held in AJK against Shopian killings,0.801110983,
3047,The Kashmir question,0.793394208,
7249,"Strike, protest against braid-chopping in India-held Kashmir",0.788092196,
20179,"Kashmir bloodshed
",0.784805655,
2210,Protests erupt in India-held Kashmir over killing of teenager,0.773853183,
15911,Pakistan lodges protest with India over 'deplorable' targeting of civilians along LoC,0.766401172,
14833,Pakistan lodges protest with India over civilian casualties in cross-border firing,0.755852163,
3940,Turkey opposition chief challenges Erdogan with ‘justice’ congress,0.750713468,
4617,Outspoken journalist's murder sparks outcry in India,0.748752654,
24437,"FO rejects India’s protest against GB Order
",0.747951686,
1315,Pakistan lodges protest with India over 'unprovoked ceasefire violations',0.743859947,
2598,FO protests killing of woman by Indian forces across LoC,0.738982677,
556,India shuts down internet on eve of Burhan Wani’s death anniversary,0.736856222,
15307,Strike shuts held Kashmir after Indian soldiers kill 2 civilians,0.732175469,
6146,Pakistan slams India for using photograph gaffe to 'divert attention' from held Kashmir,0.729309738,
658,Pakistan lodges protest with India over AJK civilian casualties after LoC firing,0.722891092,
8850,Indian National Congress pitch for 'azaadi' in Kashmir an insult to soldiers: Modi,0.719201326,
4758,Anti-Modi Twitter campaign trends in India following journalist's murder,0.716481924,
10773,Journalist killing by Indian soldier 'in scuffle' shocks country,0.71622467,
17295,"1 killed, 3 injured in Indian LoC violation in Azad Kashmir: ISPR",0.714397907,
2732,Turkey orders arrest of 35 media workers over alleged links to Gulen,0.710862875,
17028,Pellet gun victims stage protest in Srinagar,0.706687808,
5807,Indian journalist covering political unrest beaten to death during violent clashes,0.695145726,
18924,Former PM Manmohan Singh blames Modi govt for deteriorating situation in India-held Kashmir,0.694033742,
10783,Journalist shot dead by Indian soldier,0.686500847,
2176,"Anti-India protests erupted in held Kashmir after suspected militants, civilian killed",0.679610968,
23520,"India announces ceasefire in held Kashmir during Ramazan
",0.679109097,
3328,"Kashmir not a piece of real estate, says Mirwaiz after release from house arrest",0.676641583,
9249,"2 Indian soldiers, 'militant' killed in IHK gun battle",0.673382699,
14346,4 Pakistan Army soldiers martyred by cross-border mortar shelling in AJK,0.67301333,
8607,FO wants UN observers to monitor LoC violations,0.671012998,
1417,One killed in held Kashmir as Indian troops open fire on protesters,0.665194571,
1614,Indian deputy high commissioner summoned for third time this month over ceasefire violations,0.664925039,
4618,India's top court tells government to stop cow vigilantes,0.660142183,
635,PM reminds world of obligation towards Kashmiris’ rights,0.657481849,
9773,PFUJ urges govt to take steps for journalists’ safety in Balochistan,0.653462589,
13017,Indian cross-LoC firing provided 'non-state actors' cover to plant IEDs: Foreign Office,0.649409831,
24317,"Pemra bans Aamir Liaquat from appearing on television for a month
",0.646677732,
427,Pakistan condemns harassment of Kashmiri leader's relatives by Indian authorities,0.646203876,
19966,"Dalai Lama faces cold shoulder at ‘Thank You India’ event
",0.645381331,
18481,3 Kashmiri youth killed in gunbattle by Indian security forces,0.644751132,
987,Attack on Hindu pilgrims a bid to discredit Kashmiri uprising: FO,0.64447397,
8447,Women protest against braid-chopping incidents in held Kashmir,0.643061042,
17197,Pakistan summons Indian envoy after labourer killed in cross-LoC firing,0.634307981,
15311,3 injured in firing as Indian forces target civilian population across LoC: ISPR,0.631494045,
714,IHK rights commission orders Indian Rs1m compensation for army jeep 'human shield',0.627898872,
3050,India's independence day observed as 'black day' in Kashmir,0.623372674,
699,"Army says four Indian soldiers killed, two posts destroyed on LoC",0.623296797,
18035,Islamabad's military support sought for 'freedom movement' in held Kashmir,0.622699201,
1289,"Kashmiri delegation calls on Sartaj Aziz, seeks Pakistan's support",0.620411873,
22007,"Indian journalists intimidated, ostracised for criticising Modi and the BJP
",0.620243788,
20001,"Anti-India protests erupt in held Kashmir as Indian troops kill 17
",0.619951785,
19415,"UK lawmakers urged to lobby for Kashmir issue settlement
",0.618847072,
24323,"Pemra bans Dr Amir Liaquat for 30 days over 'unwarranted drama' on religious matters
",0.610501051,
10278,Pakistan condemns truce violations by India,0.606784165,
2390,Indian troops kill 3 Kashmiri militants in gun battle,0.601830661,
21799,"Two Indian security men, ‘militant’ killed in India-held Kashmir
",0.601683795,
22932,"Tourist dies in held Kashmir as protests continue
",0.600064516,
21263,"Pakistan cautions India against fanning row over pilgrims
",0.598010361,
24137,"Council of Pakistan Newspaper Editors voices concern at curbs on media freedom
",0.59625715,
18033,India warns BJP supporters who bulldozed Lenin's statue in Tripura,0.594394982,
8316,Journalist shot dead in India's UP,0.594305098,
3202,AJK protesters rally to condemn blacklisting of Hizbul Mujahideen by US,0.593390048,
20092,"Strike, security clampdown in India-held Kashmir day after fierce fighting leaves 20 dead
",0.592955649,
11895,"India opens fire along LoC only in response to incursion by Pakistan, claims Sushma Swaraj",0.591967046,
20728,"Citizens group urges Delhi to shun force, win hearts in Kashmir
",0.590321004,
5940,"Pakistan 'export factory for terror', Indian FM says at UNGA",0.588986993,
5239,Pakistan summons Indian envoy to protest against killing of civilians in LoC violation,0.587962925,
19701,"Communal riots in India turn deadly
",0.585101724,
9489,Protests in Muzaffarabad against India-appointed interlocutor's visit to held Kashmir,0.583334744,
433,Harassment of Kashmiri leader’s relatives condemned,0.581818223,
3265,Unjustified US action against Hizb,0.581513524,
4661,Constable quits over excesses in held Kashmir,0.578766286,
12949,"'Lives of Kashmiris have no value, we have no rights': wife of leader detained by India",0.577372849,
23005,"Hundreds protest against gun attack on Montenegro journalist
",0.576354802,
21409,"FO rubbishes Modi’s fresh claim on 2016 ‘surgical strike’
",0.576268315,
23166,"Punjab Assembly condemns Indian army chief's statement calling Kashmiri struggle 'futile'
",0.575818539,
606,Kashmir unrest,0.574571908,
14683,"Man killed, minor girl injured in cross-LoC firing by Indian forces",0.573653698,
20037,"Indian troops kill 17 in held Kashmir
",0.570976138,
8854,Pakistan frees 68 Indian fishermen held for trespassing,0.569810748,
10256,"Hate crimes against Muslims, S. Asians rise in US",0.569391906,
22749,"Professor among 10 killed by Indian troops in held Kashmir
",0.569046974,
11960,Indian forces using 'chemical weapons' in held Kashmir: AJK president,0.568984091,
5955,No Kashmir policy,0.568308175,
20185,"7 killed as India’s Dalits lead protests against court ruling
",0.567648411,
20492,"Rally condemns atrocities in India-held Kashmir
",0.567391574,
958,Pemra to challenge SHC order allowing telecast of Indian dramas in Pakistan,0.567347288,
